sourcecode,latnad27,lonnad27,elevngvd29m,obsgrvless976000mg,itc,otc,faanom,cbanom267,latnad83,lonnad83,elevngvd88m
77485235,41.504501,-121.7045,1627.7,3827.31,0.05,1.38,25.7,-156.53,41.5043806,-121.7056093,1628.89
2720 ngs,41.537834,-121.70367,1790.4,3797.3,0.3,1.81,42.84,-156.96,41.5377131,-121.7047792,1791.63
27200765,41.537834,-121.70367,1790.4,3797.29,0.3,1.81,42.83,-156.97,41.5377131,-121.7047792,1791.63
5675 ngs,41.537998,-121.7035,1790.4,3797.51,0.35,1.81,43.04,-156.72,41.5378771,-121.7046092,1791.63
77482235,41.526501,-121.70316,1771.7,3801.19,0.51,1.76,41.99,-155.56,41.5263803,-121.7042692,1772.91
77480235,41.543167,-121.70116,1836.7,3792.5,0.06,1.99,51.84,-153.22,41.5430461,-121.7022691,1837.93
77483017,41.589668,-121.701,1847.1,3795.75,0.81,2.2,54.11,-151.15,41.5895464,-121.702109,1848.34
2713 ngs,41.661835,-121.69667,1587.1,3847.8,0.04,1.26,19.54,-158.26,41.6617123,-121.6977787,1588.29
27130264,41.661999,-121.69667,1587.1,3847.8,0.04,1.25,19.53,-158.29,41.6618763,-121.6977787,1588.29
77483235,41.522167,-121.69267,1710.4,3810.39,0.08,1.61,32.68,-158.57,41.5220465,-121.6937789,1711.61
77489017,41.5695,-121.69267,1951.6,3772.56,1.3,2.49,64.94,-151.25,41.5693787,-121.6937788,1952.84
2713 ngs,41.525833,-121.69167,1718.8,3810.6,0.23,1.67,35.15,-156.83,41.5257124,-121.6927789,1720.01
27130364,41.525833,-121.69167,1718.8,3810.64,0.23,1.67,35.19,-156.79,41.5257124,-121.6927789,1720.01
2713 ngs,41.570168,-121.69167,1936.7,3775.9,1.89,2.41,63.63,-150.39,41.5700467,-121.6927788,1937.94
27130190,41.570168,-121.69167,1936.7,3775.94,1.89,2.41,63.67,-150.35,41.5700467,-121.6927788,1937.94
77481235,41.524166,-121.68916,1724.8,3808.31,0.06,1.64,34.86,-158,41.5240455,-121.6902688,1726.01
77488017,41.639668,-121.68767,1673.7,3833.69,0.39,1.65,34.12,-152.67,41.6395457,-121.6887785,1674.91
77488017,41.571999,-121.6875,1965.9,3768.5,1.22,2.58,65.06,-152.72,41.5718777,-121.6886087,1967.14
77480017,41.618168,-121.68616,1748.1,3817.69,0.54,2.06,42.98,-151.59,41.6180461,-121.6872685,1749.34
77487017,41.641998,-121.68616,1646.2,3837.44,0.97,1.7,29.18,-153.89,41.6418757,-121.6872685,1647.41
77484017,41.588001,-121.68467,1912.6,3783.5,0.33,2.48,62.2,-150.61,41.5878795,-121.6857786,1913.85
