#sourcecode,latnad27,lonnad27,elevngvd29m,obsgrvless976000mg,itc,otc,faanom,cbanom267,latnad83,lonnad83,elevngvd88m
5198 ngs,47.374332,-123.41583,388.3,4762.71,4.66,3.66,48.71,13.05,47.3741442,-123.4171049,389.39
5198000,47.374332,-123.41583,388.3,4762.66,4.66,3.66,48.66,13,47.3741442,-123.4171049,389.39
35440000,47.006668,-123.415,20.1,4790.31,0.24,-0.01,-4.05,-6.1,47.0064859,-123.4162695,21.12
3544 ngs,47.006668,-123.41483,20.1,4790.3,0.25,-0.01,-4.06,-6.1,47.0064859,-123.4160995,21.12
4506 ngs,47.158501,-123.40984,93.3,4790.9,0.37,0.06,5.41,-4.74,47.1583155,-123.4111107,94.33
2267 ngs,47.238335,-123.40733,135,4766.71,0.01,0.28,-13.13,-28.14,47.2381476,-123.4086013,136.04
22670052,47.238499,-123.40733,135,4766.74,0.01,0.28,-13.11,-28.13,47.2383116,-123.4086013,136.04
4506 ngs,47.100334,-123.4055,86.1,4798.3,0.62,0.09,15.84,6.79,47.1001498,-123.40677,87.13
35440000,47.238335,-123.405,135,4767.01,0.01,0.28,-12.83,-27.84,47.2381476,-123.4062712,136.04
3544 ngs,47.238335,-123.40483,135,4767,0.01,0.28,-12.84,-27.85,47.2381476,-123.4061012,136.04
22671998,47.656666,-123.4045,530.7,4643.32,5.26,21.08,-52.23,-85.98,47.6564774,-123.4057838,531.94
2267 ngs,47.656666,-123.40434,530.7,4643.3,5.6,21.09,-52.25,-85.65,47.6564774,-123.4056237,531.94
22672014,47.806667,-123.403,1350.6,4509.11,4.69,9.67,52.81,-85.36,47.8064788,-123.4042891,1351.86
2267 ngs,47.806667,-123.40283,1350.6,4509.1,4.78,9.64,52.8,-85.31,47.8064788,-123.4041191,1351.86
5059   9,47.927502,-123.39684,1965.9,4403.91,22.96,25.19,126.36,-47.08,47.9273149,-123.3981329,1967.15
4506 ngs,47.236832,-123.39567,137.1,4767.6,0.05,0.26,-11.45,-26.69,47.2366445,-123.3969409,138.14
