sourcecode,latnad27,lonnad27,elevngvd29m,obsgrvless976000mg,itc,otc,faanom,cbanom267,latnad83,lonnad83,elevngvd88m
46870329,44.321335,-111.45934,1866.6,4001.15,0.01,0.12,19.04,-191.29,44.3212516,-111.4601299,1867.77
4687 ngs,44.165501,-111.459,1905,3978.68,0.08,0.48,22.5,-191.7,44.1654158,-111.4597892,1906.15
46870100,44.247833,-111.4585,1905,3990.07,0.02,0.12,26.44,-188.18,44.2477485,-111.4592895,1906.15
3498 ngs,44.715168,-111.45817,2159.5,3970.71,0.46,2.86,43.22,-196.73,44.7150912,-111.4589622,2160.76
3498WG79,44.715168,-111.45817,2159.5,3970.69,0.46,2.86,43.2,-196.75,44.7150912,-111.4589622,2160.76
46871036,44.176834,-111.45817,1933.3,3973.93,0.08,0.46,25.45,-191.95,44.1767489,-111.4589592,1934.46
46870501,44.016834,-111.45783,1617.8,4033.31,0.09,-0.1,2.07,-180.5,44.0167476,-111.4586185,1618.88
46870439,44.017834,-111.45783,1615.4,4035.78,0.06,-0.1,3.71,-178.62,44.0177476,-111.4586185,1616.48
46870220,44.292835,-111.45783,1867.2,4002.06,0.02,0.09,22.71,-187.71,44.2927511,-111.4586197,1868.35
46870434,44.057167,-111.4575,1600.5,4043.26,0.04,-0.08,3.04,-177.61,44.0570809,-111.4582887,1601.58
46870365,44.473835,-111.45717,1966.5,3997.05,0.55,1.1,31.92,-188.08,44.4737544,-111.4579606,1967.73
764A097,44.826668,-111.45667,1887.9,4023.07,2.7,7.76,1.78,-200.6,44.8265927,-111.4574629,1889.16
2150 ngs,44.827168,-111.45667,1888.2,4023.1,3.04,8,1.86,-199.98,44.8270927,-111.4574629,1889.46
21500637,44.827168,-111.45667,1888.2,4023.05,3.04,8,1.81,-200.03,44.8270927,-111.4574629,1889.46
6755Q356,44.827,-111.45634,1888.2,4022.49,3.08,7.97,1.27,-200.57,44.8269247,-111.4571329,1889.46
46870219,44.303333,-111.45533,1865,4003.28,0.01,0.1,22.3,-187.87,44.3032493,-111.4561197,1866.15
4687 ngs,44.230999,-111.45517,1882.7,3993.71,0.03,0.09,24.73,-187.41,44.2309144,-111.4559593,1883.86
46870259,44.082333,-111.45517,1591.6,4048.62,0.03,-0.01,3.38,-176.21,44.0822471,-111.4559587,1592.68
46870258,44.097,-111.455,1589.5,4048.78,0,0.07,1.56,-177.74,44.0969143,-111.4557887,1590.58
46870097,44.223167,-111.45467,1864.1,3996.39,0.02,0.09,22.39,-187.68,44.2230824,-111.4554592,1865.26
5177 ngs,44.096832,-111.45467,1589.5,4048.9,0,0.06,1.7,-177.62,44.0967463,-111.4554587,1590.58
51771072,44.096832,-111.45467,1589.5,4048.89,0,0.06,1.69,-177.63,44.0967463,-111.4554587,1590.58
46870146,44.195835,-111.45367,1883,3988.46,0.14,0.15,22.76,-189.25,44.1957502,-111.4544591,1884.17
3498 ngs,44.641335,-111.45267,1986.3,4007.1,0.4,2.4,32.91,-188.16,44.641257,-111.4534615,1987.52
3498WG24,44.641335,-111.45267,1986.3,4007.1,0.4,2.4,32.91,-188.16,44.641257,-111.4534615,1987.52
3498 ngs,44.642834,-111.45233,1992.7,4006.71,0.3,2.36,34.36,-187.57,44.642756,-111.4531215,1993.92
3498WG23,44.643002,-111.45233,1992.7,4006.74,0.31,2.37,34.38,-187.53,44.642924,-111.4531215,1993.92
46870364,44.468334,-111.4515,1952.2,3998.72,0.84,0.89,29.68,-188.64,44.4682535,-111.4522903,1953.42
3498 ngs,44.621334,-111.45133,1994.6,4006.6,0.43,1.89,36.78,-185.7,44.6212556,-111.4521213,1995.84
34986544,44.621502,-111.45133,1994.6,4006.65,0.45,1.89,36.82,-185.65,44.6214236,-111.4521213,1995.84
46870310,44.312832,-111.45116,1871.1,4001.68,0.03,0.09,21.72,-189.12,44.3127486,-111.4519495,1872.26
46870890,44.621502,-111.45116,1992.7,4007.17,0.45,1.9,36.75,-185.49,44.6214236,-111.4519513,1993.94
4687 ngs,44.454834,-111.45084,1929.6,4001.71,0.32,0.59,26.93,-189.68,44.4547532,-111.4516302,1930.81
46870838,44.394001,-111.45067,2021.4,3970.24,0.2,0.53,29.26,-197.82,44.3939191,-111.4514599,2022.61
4687 ngs,44.631168,-111.4505,1989.1,4007.79,0.3,1.92,35.39,-186.58,44.6310898,-111.4512913,1990.33
46870092,44.208832,-111.45033,1871.7,3992.35,0.03,0.09,21.99,-188.92,44.2087473,-111.451119,1872.87
6755Q114,44.908833,-111.449,3072.3,3795.89,1.19,9.37,132.09,-202.44,44.9087595,-111.4497932,3073.79
5938 ngs,44.694,-111.449,2034.5,3994.96,0.08,3.25,30.86,-195.08,44.6939231,-111.4497917,2035.75
3598 ngs,44.074833,-111.44833,1602.9,4043.5,0.01,-0.04,2.42,-178.49,44.0747471,-111.4491184,1603.98
35980500,44.075001,-111.44833,1602.9,4043.49,0.01,-0.04,2.39,-178.52,44.0749151,-111.4491184,1603.98
3498 ngs,44.698334,-111.44817,2056.1,3989.6,0.22,3.73,31.77,-195.97,44.6982572,-111.4489616,2057.35
3498WG95,44.698334,-111.44817,2056.1,3989.57,0.22,3.73,31.74,-196,44.6982572,-111.4489616,2057.35
3498WG96,44.702168,-111.448,2103.4,3980.36,0.43,3.85,36.76,-195.95,44.7020912,-111.4487917,2104.66
3498 ngs,44.702168,-111.44783,2103.4,3980.4,0.45,3.89,36.8,-195.85,44.7020912,-111.4486217,2104.66
4687 ngs,44.006001,-111.4475,1624.5,4030.72,0.07,-0.08,2.52,-180.79,44.0059145,-111.4482881,1625.59
3498 ngs,44.643333,-111.44733,1984.5,4007.71,0.35,2.05,32.79,-188.48,44.6432551,-111.4481212,1985.72
3498WG22,44.643501,-111.44733,1984.5,4007.69,0.35,2.06,32.75,-188.51,44.6434231,-111.4481212,1985.72
3498 ngs,44.618332,-111.44733,1994.6,4003.4,0.04,1.72,33.85,-189.19,44.6182537,-111.4481211,1995.84
3498WG94,44.696335,-111.447,2041.5,3992.16,0.25,3.75,30.01,-196.05,44.6962582,-111.4477916,2042.75
46870085,44.112835,-111.447,1584.9,4046.24,0.04,0.3,-3.83,-182.35,44.1127495,-111.4477885,1585.99
