#sourcecode,latnad27,lonnad27,elevngvd29m,obsgrvless976000mg,itc,otc,faanom,cbanom267,latnad83,lonnad83,elevngvd88m
2713 ngs,41.565834,-122.92484,860.8,4023,0.47,2.04,-20.56,-115.41,41.5656935,-122.9259852,861.81
2713 ngs,41.642334,-122.92484,832.7,4034.21,0.14,2.67,-24.89,-116.27,41.6421919,-122.9259855,833.71
22301325,42.534832,-122.92384,425.5,4238.62,0.02,0.68,-26.38,-73.87,42.5346782,-122.9249969,426.52
22301356,42.824501,-122.92333,875.7,4171.87,0.77,1.87,19.57,-76.83,42.8243454,-122.9244934,876.8
22302080,42.947498,-122.92267,365.5,4283.24,0.37,3.56,-37.49,-74.96,42.9473399,-122.9238342,366.56
22301355,42.806,-122.9225,1156.7,4113.04,0.34,3.37,49.05,-77.95,42.8058448,-122.9236633,1157.81
4058 ngs,42.301666,-122.92083,464.5,4210,0.25,1.35,-21.96,-72.97,42.301514,-122.9219815,465.52
4058 159,42.301666,-122.92083,464.5,4210.03,0.25,1.35,-21.93,-72.94,42.301514,-122.9219815,465.52
22301359,42.779499,-122.92,1364.3,4063.78,0.61,5.86,66.19,-81.41,42.7793444,-122.921163,1365.4
22301357,42.844166,-122.91883,846.1,4179.93,0.59,1.74,16.73,-76.64,42.84401,-122.9199934,847.19
22301316,42.890335,-122.91666,395.9,4276.68,0.64,3.3,-29.51,-70.42,42.890178,-122.9178236,396.97
22301498,42.602001,-122.916,678.2,4188.05,1.78,1.39,-5.08,-78.66,42.6018472,-122.9171585,679.24
22301326,42.520668,-122.91534,403.9,4240.26,0.2,0.5,-30.13,-75.18,42.5205143,-122.9164962,404.92
22301484,42.505333,-122.91434,392.9,4240.36,0.54,0.47,-32.04,-75.53,42.5051793,-122.9154957,393.91
3252 ngs,41.583832,-122.91167,846.4,4027.9,0.03,2,-21.72,-115.43,41.5836913,-122.9128149,847.42
56750877,41.584167,-122.91167,846.4,4027.18,0.03,2,-22.47,-116.18,41.5840263,-122.9128149,847.42
22302081,42.955002,-122.91033,330.4,4284.4,1.02,4.29,-47.83,-79.95,42.9548436,-122.9114938,331.45
5675 ngs,41.064167,-122.90984,2139,3717.79,5.04,12.06,113.27,-110.6,41.0640315,-122.9109816,2140.13
32520311,41.064335,-122.90984,2139,3717.72,5.1,12.08,113.19,-110.6,41.0641995,-122.9109816,2140.13
