#sourcecode,latnad27,lonnad27,elevngvd29m,obsgrvless976000mg,itc,otc,faanom,cbanom267,latnad83,lonnad83,elevngvd88m
27130089,41.952168,-121.94,1291.7,3938.4,0.17,0.26,-7.03,-152.51,41.9520366,-121.9411165,1292.84
2713 ngs,41.952168,-121.93983,1291.7,3938.4,0.18,0.26,-7.03,-152.5,41.9520366,-121.9409465,1292.84
5025335,41.952332,-121.93833,1291.7,3938.24,0.15,0.26,-7.21,-152.7,41.9522006,-121.9394465,1292.84
2713 ngs,41.579834,-121.93833,1471.6,3856.6,0.04,1.62,0.1,-164.37,41.5797097,-121.9394451,1472.83
5675 ngs,41.314335,-121.93166,1159.4,3904.67,0.04,1.17,-24.24,-154.05,41.3142154,-121.9327707,1160.51
2773 ngs,41.649666,-121.92767,1386.7,3880.71,0.07,0.69,-8.23,-164.06,41.6495403,-121.9287851,1387.88
5675  17,41.647667,-121.9275,1395,3878.08,0.01,0.68,-8.13,-164.96,41.6475413,-121.9286151,1396.18
774802,41.3465,-121.92717,1225.1,3889.39,0.06,2.15,-22.15,-158.35,41.3463797,-121.9282813,1226.25
5675 ngs,41.337502,-121.92667,1193.9,3896.16,0.08,2.08,-24.2,-156.93,41.3373819,-121.9277811,1195.04
4735 ngs,41.953835,-121.92316,1292.3,3938.9,0.21,0.26,-6.5,-152,41.9537036,-121.9242758,1293.44
47350461,41.953835,-121.92316,1292.3,3938.92,0.21,0.26,-6.48,-151.98,41.9537036,-121.9242758,1293.44
774801,41.3325,-121.9225,1198.1,3896.14,0.05,2.09,-22.47,-155.7,41.33238,-121.9236109,1199.24
774821,41.332668,-121.9225,1205,3894.39,0.06,2.05,-22.11,-156.15,41.332548,-121.9236109,1206.14
774817,41.348499,-121.92067,1283.6,3878.14,0.71,2.55,-15.55,-157.28,41.3483786,-121.9217812,1284.76
5025277,41.977165,-121.92033,1296.3,3948.36,1.87,0.42,2.1,-142.03,41.977033,-121.9214458,1297.44
2381,41.968334,-121.92,1292.4,3943.44,0.15,0.34,-3.23,-148.72,41.9682022,-121.9211157,1293.54
27130101,41.605335,-121.92,1444.8,3865.42,0.01,0.95,-1.63,-163.79,41.6052103,-121.9211148,1445.99
2381 ngs,41.968334,-121.91983,1292.4,3943.4,0.16,0.34,-3.27,-148.75,41.9682022,-121.9209457,1293.54
2713 ngs,41.605335,-121.91983,1444.8,3865.4,0.01,0.95,-1.65,-163.81,41.6052103,-121.9209448,1445.99
2713 ngs,41.647667,-121.91983,1395.1,3878.9,0.01,0.67,-7.27,-164.13,41.6475414,-121.9209449,1396.28
2713 ngs,41.378834,-121.91983,1300.9,3877,0.06,1.71,-14.07,-159.24,41.3787129,-121.9209419,1302.06
774804,41.372665,-121.91917,1270,3881.75,0.23,2.07,-18.3,-159.46,41.372544,-121.9202817,1271.16
2713 ngs,41.865833,-121.91833,1291.7,3926.3,0.31,0.41,-11.37,-156.55,41.8657037,-121.9194454,1292.86
27130217,41.866001,-121.91833,1291.7,3926.3,0.31,0.41,-11.38,-156.56,41.8658717,-121.9194454,1292.86
774803,41.348499,-121.91817,1269.4,3882.31,1.63,3.04,-15.75,-154.48,41.3483786,-121.9192812,1270.56
2773  76,41.575333,-121.9175,1469.5,3855.29,0.09,1.46,-1.45,-165.79,41.5752089,-121.9186146,1470.72
2773 ngs,41.851334,-121.91734,1293.3,3921.3,0.14,0.47,-14.57,-160.04,41.8512051,-121.9184553,1294.46
2773 ngs,41.575333,-121.91734,1469.5,3855.3,0.09,1.46,-1.44,-165.78,41.5752089,-121.9184546,1470.72
27130102,41.561165,-121.915,1508.2,3846.37,0.27,1.71,2.83,-165.43,41.5610413,-121.9161145,1509.43
